frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,123.8,8,1048,970,,,,,,,,,,,,,,,,57,522,468,34.59610147673757,31.01719442741989,,,,,,,,,,,,,
1,123.8,,,,,,,,,,,,,,,,,,,72,1013,537,,,,,,,,,,,,,,,
2,231.7,,,,,,,,,,,,,,,,,,,71,1014,538,,,,,,,,,,,,,,,
3,254.8,,,,,,,,,,,,,,,,,,,70,521,468,34.52982542026873,31.01719442741989,,,,,,,,,,,,,
4,269.8,15,830,192,55.009126869142115,12.725002842018418,,,,,14,966,643,64.02267054890517,42.61550430946793,,,,,,,,,,,,,,,,,,,,,,
5,289.6,15,830,192,55.009126869142115,12.725002842018418,,,,,13,966,644,64.02267054890517,42.681780365936774,,,,,,,,,,,,,,,,,,,,,,
6,289.6,15,830,192,55.009126869142115,12.725002842018418,,,,,14,966,643,64.02267054890517,42.61550430946793,,,,,,,,,,,,,,,,,,,,,,
7,315.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,13,966,643,64.02267054890517,42.61550430946793,0.0,-0.387859671352544,0.0,-17.124047300333064,,,,,,,,,,,,,,,,,,
8,315.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-4.127426494907897,0.0,83.97612400626447,,,,,,,,,,,,,,,,,,
9,349.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
10,383.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,-0.46236572988310914,0.0,14.939118897677195,,,,,,,,,,,,,,,,,,
11,413.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,0.14590606538194986,0.0,2.9685872915961324,,,,,,,,,,,,,,,,,,
12,449.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,-0.15337973061335186,0.0,-3.0675946122670372,,,,,,,,,,,,,,,,,,
13,513.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.26007836950167235,0.0,-3.8331373544830107,,,,,,,,,,,,,,,,,,
14,581.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.28133066793027145,0.4551598775181279,3.353166483078324,0.7173937827325682,,,,,,,,,,,,,,,,,,
15,613.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,642,64.02267054890517,42.549228252999086,0.0,0.082350152117687,0.0,5.945859358677768,,,,,,,,,,,,,,,,,,
16,649.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.18229245691057513,-0.18229245691059467,2.6866979647837153,-2.6866979647840035,,,,,,,,,,,,,,,,,,
17,713.1,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,967,644,64.088946605374,42.681780365936774,0.015863653371541143,0.015863653371542854,-7.378443428623894,-7.378443428624685,,,,,,,,,,,,,,,,,,
18,749.2,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.23994368069731167,0.0,-3.6300102979926145,,,,,,,,,,,,,,,,,,
19,813.5,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,967,642,64.088946605374,42.549228252999086,-0.2602849590612501,0.2602849590612781,-8.070851443759691,8.070851443760558,,,,,,,,,,,,,,,,,,
20,849.3,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,-0.2393096259504437,-0.2393096259504694,3.631405553117506,3.6314055531178946,,,,,,,,,,,,,,,,,,
21,881.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
22,913.4,15,830,192,55.009126869142115,12.725002842018418,0.0,0.0,0.0,0.0,14,966,643,64.02267054890517,42.61550430946793,-0.3825932409277376,0.38259324092777863,5.622237192178361,-5.6222371921789644,,,,,,,,,,,,,,,,,,
