Time(Epoch),Time(seconds),Load Cell (lbf),Run Tank Pressure (psig),Combustion Chamber Pressure (psig),Supply Tank Pressure (psig)
3716132447.371,0,-84.449951,761.918992,-0.16666,869.09183
3716132447.401,0.0300002098083496,-81.738893,761.515629,0.535022,869.09183
3716132447.432,0.0610003471374512,-87.838804,761.515629,0.166639,868.7939
3716132447.461,0.0900001525878906,-87.838804,760.989456,-0.464875,868.934084
3716132447.49,0.11899995803833,-90.549861,761.199925,0.043843,868.425825
3716132447.52,0.14900016784668,-84.449951,761.480533,-0.131576,868.601134
3716132447.548,0.177000045776367,-81.738893,761.270064,-0.32454,869.284596
3716132447.6,0.229000091552734,-80.383384,761.655906,0.394687,869.442343
3716132447.63,0.259000301361084,-87.161009,760.866701,-0.342085,869.056811
3716132447.66,0.289000034332275,-88.516558,761.585768,-0.307002,868.7939
3716132447.689,0.318000316619873,-84.449951,761.708523,0.061388,869.004228
3716132447.72,0.348999977111816,-83.094442,761.287638,0.096471,868.811462
3716132447.752,0.38100004196167,-81.738893,761.235021,0.482399,869.021685
3716132447.786,0.414999961853027,-85.127706,761.463012,0.166639,869.039248
3716132447.817,0.446000099182129,-83.094442,761.410394,-0.043864,869.302159
3716132447.848,0.477000236511231,-85.127706,761.287638,-0.201744,869.424886
3716132447.878,0.506999969482422,-84.449951,761.16483,0.026304,868.916521
3716132447.911,0.539999961853027,-89.194313,761.059648,-0.149121,869.074268
3716132447.94,0.569000244140625,-85.8055,761.585768,0.008759,868.7939
3716132447.969,0.598000049591064,-84.449951,761.392873,-0.00878,868.899064
3716132447.999,0.628000259399414,-81.738893,761.427916,-0.429791,869.372304
3716132448.032,0.66100025177002,-83.772197,761.007031,-0.219289,869.074268
3716132448.061,0.690000057220459,-87.838804,761.44549,-0.587671,869.09183
3716132448.091,0.720000267028809,-89.194313,761.620863,-0.236827,868.566008
3716132448.12,0.749000072479248,-83.094442,761.585768,0.061388,868.881501
3716132448.15,0.779000282287598,-83.094442,761.691002,-0.131576,869.179432
3716132448.179,0.808000087738037,-84.449951,760.971935,0.166639,869.056811
3716132448.208,0.837000370025635,-89.872067,761.270064,-0.48242,868.390805
3716132448.238,0.867000102996826,-83.772197,761.673481,-0.254373,868.986666
3716132448.268,0.897000312805176,-81.738893,761.796236,0.377148,869.056811
3716132448.297,0.926000118255615,-85.127706,761.585768,-0.289456,869.214557
3716132448.328,0.957000255584717,-86.483255,761.270064,-0.552588,868.916521
3716132448.358,0.986999988555908,-89.194313,761.287638,-0.254373,868.776337
3716132448.386,1.01500034332275,-85.127706,761.796236,0.377148,869.056811
3716132448.416,1.04500007629395,-82.416648,760.989456,-0.271911,869.547507
3716132448.446,1.0750002861023,-87.838804,760.761466,-0.184205,869.056811
3716132448.475,1.10400009155273,-91.227616,761.270064,-0.517504,868.653716
3716132448.504,1.13300037384033,-84.449951,761.112212,-0.201744,868.899064
3716132448.534,1.16300010681152,-83.094442,761.427916,0.42977,869.267139
3716132448.562,1.19099998474121,-87.838804,760.901796,-0.271911,869.039248
3716132448.594,1.22300004959106,-87.161009,761.007031,0.043843,869.12685
3716132448.623,1.25200033187866,-86.483255,761.568246,-0.289456,868.408262
3716132448.653,1.28200006484985,-83.094442,761.235021,-0.096492,869.004228
3716132448.684,1.31300020217896,-83.094442,761.550672,-0.271911,869.477468
