x,y
0,0
0.5,1.0
1.0,2.0
1.5,3.0
2.0,4.0
2.5,5.0
3.0,6.0
3.5,7.0
4.0,8.0
4.5,9.0
5.0,10.0
5.5,11.0
6.0,12.0
6.5,13.0
7.0,14.0
7.5,15.0
8.0,16.0
8.5,17.0
9.0,18.0
9.5,19.0
10.0,20.0
10.5,21.0
11.0,22.0
11.5,23.0
12.0,24.0
12.5,25.0
13.0,26.0
13.5,27.0
14.0,28.0
14.5,29.0
15.0,30.0
15.5,31.0
16.0,32.0
16.5,33.0
17.0,34.0
17.5,35.0
18.0,36.0
18.5,37.0
19.0,38.0
19.5,39.0
20.0,40.0
20.5,41.0
21.0,42.0
21.5,43.0
22.0,44.0
22.5,45.0
23.0,46.0
23.5,47.0
24.0,48.0
24.5,49.0
25.0,50.0
25.5,51.0
26.0,52.0
26.5,53.0
27.0,54.0
27.5,55.0
28.0,56.0
28.5,57.0
29.0,58.0
29.5,59.0
30.0,60.0
30.5,61.0
31.0,62.0
31.5,63.0
32.0,64.0
32.5,65.0
33.0,66.0
33.5,67.0
34.0,68.0
34.5,69.0
35.0,70.0
35.5,71.0
36.0,72.0
36.5,73.0
37.0,74.0
37.5,75.0
38.0,76.0
38.5,77.0
39.0,78.0
39.5,79.0
40.0,80.0
40.5,81.0
41.0,82.0
41.5,83.0
42.0,84.0
42.5,85.0
43.0,86.0
43.5,87.0
44.0,88.0
44.5,89.0
45.0,90.0
45.5,91.0
46.0,92.0
46.5,93.0
47.0,94.0
47.5,95.0
48.0,96.0
48.5,97.0
49.0,98.0
49.5,99.0
50.0,100.0
50.5,101.0
51.0,102.0
51.5,103.0
52.0,104.0
52.5,105.0
53.0,106.0
53.5,107.0
54.0,108.0
54.5,109.0
55.0,110.0
55.5,111.0
56.0,112.0
56.5,113.0
57.0,114.0
57.5,115.0
58.0,116.0
58.5,117.0
59.0,118.0
59.5,119.0
60.0,120.0
60.5,121.0
61.0,122.0
61.5,123.0
62.0,124.0
62.5,125.0
63.0,126.0
63.5,127.0
64.0,128.0
64.5,129.0
65.0,130.0
65.5,131.0
66.0,132.0
66.5,133.0
67.0,134.0
67.5,135.0
68.0,136.0
68.5,137.0
69.0,138.0
69.5,139.0
70.0,140.0
70.5,141.0
71.0,142.0
71.5,143.0
72.0,144.0
72.5,145.0
73.0,146.0
73.5,147.0
74.0,148.0
74.5,149.0
75.0,150.0
75.5,151.0
76.0,152.0
76.5,153.0
77.0,154.0
77.5,155.0
78.0,156.0
78.5,157.0
79.0,158.0
79.5,159.0
80.0,160.0
80.5,161.0
81.0,162.0
81.5,163.0
82.0,164.0
82.5,165.0
83.0,166.0
83.5,167.0
84.0,168.0
84.5,169.0
85.0,170.0
85.5,171.0
86.0,172.0
86.5,173.0
87.0,174.0
87.5,175.0
88.0,176.0
88.5,177.0
89.0,178.0
89.5,179.0
90.0,180.0
90.5,181.0
91.0,182.0
91.5,183.0
92.0,184.0
92.5,185.0
93.0,186.0
93.5,187.0
94.0,188.0
94.5,189.0
95.0,190.0
95.5,191.0
96.0,192.0
96.5,193.0
97.0,194.0
97.5,195.0
98.0,196.0
98.5,197.0
99.0,198.0
99.5,199.0
100.0,200.0
