timestamp,0,1,Fill PT?,Supply PT?,RTD?,5,Tank PT,RTD 2?,Tank PT 2
3763233528.139,-67378.918965,1.218636,-110.99354,-0.000373,-67.524868,-2.08823,-108.573942,5.032068,1.963612
3763233528.174,-68124.561757,1.230959,-110.940972,-0.000373,-70.769074,-2.077489,-108.573942,5.02559,1.930989
3763233528.205,-68556.390346,1.231196,-110.976018,-0.000373,-69.10741,-2.093126,-108.556415,5.031278,1.87206
3763233528.236,-67370.871149,1.218636,-111.046108,-0.000373,-69.724599,-2.067696,-108.731681,5.033331,1.870718
3763233528.266,-68772.304641,1.240359,-110.976018,-0.000294,-77.843025,-2.055139,-108.433729,5.039335,1.854445
3763233528.293,-68985.541392,1.241228,-110.870882,-0.000294,-76.640293,-2.0474,-108.644048,5.036412,1.822611
3763233528.329,-67362.155213,1.21832,-110.888404,-0.000373,-72.003452,-2.044004,-108.503836,5.036728,1.902472
3763233528.369,-68744.142347,1.240359,-110.976018,-0.000294,-70.151886,-2.122505,-108.644048,5.037123,1.962981
3763233528.396,-68271.41162,1.231354,-110.940972,-0.000373,-75.184356,-2.055692,-108.696628,5.03973,1.86503
3763233528.43,-67790.633076,1.227641,-110.92345,-0.000373,-72.826374,-2.061773,-108.433729,5.043601,1.914637
3763233528.461,-68819.913292,1.240359,-110.870882,-0.000373,-73.665123,-2.071803,-108.556415,5.036965,1.870481
3763233528.493,-68229.168179,1.231117,-110.940972,-0.000294,-69.186532,-2.078674,-108.731681,5.03586,1.868664
3763233528.526,-67985.759711,1.228036,-110.940972,-0.000452,-65.831552,-2.091942,-108.626522,5.03349,1.879802
3763233528.555,-68152.724051,1.230248,-110.958495,-0.000373,-65.340962,-2.119662,-108.573942,5.02567,1.861554
3763233528.589,-68192.284887,1.23088,-111.011063,-0.000373,-68.126231,-2.098813,-108.608995,5.03191,1.878064
3763233528.617,-68062.871959,1.228115,-110.958495,-0.000373,-72.066755,-2.079306,-108.538889,5.033805,1.855077
3763233528.649,-67372.212452,1.21832,-110.958495,-0.000294,-76.371263,-2.016284,-108.521362,5.0421,1.877195
3763233528.684,-68585.893943,1.239411,-110.976018,-0.000294,-74.662121,-2.076463,-108.766734,5.038861,1.905079
3763233528.713,-68136.633481,1.228747,-110.888404,-0.000373,-76.165535,-2.033342,-108.503836,5.038387,1.845677
3763233528.744,-67336.670463,1.218241,-110.888404,-0.000373,-72.873851,-2.035949,-108.626522,5.037992,1.907291
3763233528.777,-68841.374135,1.240596,-110.940972,-0.000373,-70.357613,-2.077726,-108.714154,5.036886,1.872534
3763233528.809,-67753.081664,1.220058,-110.940972,-0.000373,-66.417089,-2.076699,-108.679101,5.034516,1.881539
3763233528.838,-67368.188544,1.21832,-110.99354,-0.000452,-63.964154,-2.106315,-108.573942,5.030409,1.845756
