x,y
0,0
0.5,0.25
1.0,1.0
1.5,2.25
2.0,4.0
2.5,6.25
3.0,9.0
3.5,12.25
4.0,16.0
4.5,20.25
5.0,25.0
5.5,30.25
6.0,36.0
6.5,42.25
7.0,49.0
7.5,56.25
8.0,64.0
8.5,72.25
9.0,81.0
9.5,90.25
10.0,100.0
10.5,110.25
11.0,121.0
11.5,132.25
12.0,144.0
12.5,156.25
13.0,169.0
13.5,182.25
14.0,196.0
14.5,210.25
15.0,225.0
15.5,240.25
16.0,256.0
16.5,272.25
17.0,289.0
17.5,306.25
18.0,324.0
18.5,342.25
19.0,361.0
19.5,380.25
20.0,400.0
20.5,420.25
21.0,441.0
21.5,462.25
22.0,484.0
22.5,506.25
23.0,529.0
23.5,552.25
24.0,576.0
24.5,600.25
25.0,625.0
25.5,650.25
26.0,676.0
26.5,702.25
27.0,729.0
27.5,756.25
28.0,784.0
28.5,812.25
29.0,841.0
29.5,870.25
30.0,900.0
30.5,930.25
31.0,961.0
31.5,992.25
32.0,1024.0
32.5,1056.25
33.0,1089.0
33.5,1122.25
34.0,1156.0
34.5,1190.25
35.0,1225.0
35.5,1260.25
36.0,1296.0
36.5,1332.25
37.0,1369.0
37.5,1406.25
38.0,1444.0
38.5,1482.25
39.0,1521.0
39.5,1560.25
40.0,1600.0
40.5,1640.25
41.0,1681.0
41.5,1722.25
42.0,1764.0
42.5,1806.25
43.0,1849.0
43.5,1892.25
44.0,1936.0
44.5,1980.25
45.0,2025.0
45.5,2070.25
46.0,2116.0
46.5,2162.25
47.0,2209.0
47.5,2256.25
48.0,2304.0
48.5,2352.25
49.0,2401.0
49.5,2450.25
50.0,2500.0
50.5,2550.25
51.0,2601.0
51.5,2652.25
52.0,2704.0
52.5,2756.25
53.0,2809.0
53.5,2862.25
54.0,2916.0
54.5,2970.25
55.0,3025.0
55.5,3080.25
56.0,3136.0
56.5,3192.25
57.0,3249.0
57.5,3306.25
58.0,3364.0
58.5,3422.25
59.0,3481.0
59.5,3540.25
60.0,3600.0
60.5,3660.25
61.0,3721.0
61.5,3782.25
62.0,3844.0
62.5,3906.25
63.0,3969.0
63.5,4032.25
64.0,4096.0
64.5,4160.25
65.0,4225.0
65.5,4290.25
66.0,4356.0
66.5,4422.25
67.0,4489.0
67.5,4556.25
68.0,4624.0
68.5,4692.25
69.0,4761.0
69.5,4830.25
70.0,4900.0
70.5,4970.25
71.0,5041.0
71.5,5112.25
72.0,5184.0
72.5,5256.25
73.0,5329.0
73.5,5402.25
74.0,5476.0
74.5,5550.25
75.0,5625.0
75.5,5700.25
76.0,5776.0
76.5,5852.25
77.0,5929.0
77.5,6006.25
78.0,6084.0
78.5,6162.25
79.0,6241.0
79.5,6320.25
80.0,6400.0
80.5,6480.25
81.0,6561.0
81.5,6642.25
82.0,6724.0
82.5,6806.25
83.0,6889.0
83.5,6972.25
84.0,7056.0
84.5,7140.25
85.0,7225.0
85.5,7310.25
86.0,7396.0
86.5,7482.25
87.0,7569.0
87.5,7656.25
88.0,7744.0
88.5,7832.25
89.0,7921.0
89.5,8010.25
90.0,8100.0
90.5,8190.25
91.0,8281.0
91.5,8372.25
92.0,8464.0
92.5,8556.25
93.0,8649.0
93.5,8742.25
94.0,8836.0
94.5,8930.25
95.0,9025.0
95.5,9120.25
96.0,9216.0
96.5,9312.25
97.0,9409.0
97.5,9506.25
98.0,9604.0
98.5,9702.25
99.0,9801.0
99.5,9900.25
100.0,10000.0
