Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
-30,-10,-60,-60,-60,-40,-150,-40,-100,-140,-80,-100,-140,-210,-146,49,-3,-250,-530,-202.1,-0.9,-0.9,-0.4,0.1,77.7,57,47.5,-21,46,-36,15,39,-19,-5
-60,-50,-30,0,-40,-60,-100,-80,-90,-120,-120,-130,-190,-200,-149,89,-10,-371,-496,-233.1,-1.9,-0.4,4.5,-4.3,102.1,105.1,65,43,-43,-18,-1,-8,-4,34
-90,-50,-30,-30,-30,-70,-80,-10,-120,-170,-100,-130,-180,-180,-240,30,120,-310,-611,-330.7,5.2,-8.3,0.3,1.1,186.4,176,2,-47,-22,-47,-2,4,32,-10
-100,-90,-40,-100,0,-20,-100,-100,-140,-90,-190,-120,-150,-190,-200,-60,190,-190,-775,-415.8,-2.8,-1,6.1,-5.6,-0.5,-0.5,133,226.1,-64,8,-10,-11,-42,5
-80,-60,-80,-90,-60,-60,-110,-40,-160,-90,-150,-190,-190,-200,-240,-40,390,-100,-964,-556.4,0.2,-1.9,0.9,4.3,-5.1,0.7,-0.6,0.2,169.7,151,-66,42,23,-5
-70,-40,-70,-50,-70,-70,-110,-60,-140,-70,-150,-170,-180,-170,-260,-220,-10,390,-1020,-583,-0.6,0,-0.5,0.8,-0.8,0.5,-0.2,-0.6,0.4,1.2,330.8,-16,-19,41
-10,-60,-90,-30,-90,-40,-120,-50,-80,-120,-150,-170,-120,-180,-260,-210,-230,370,-900,-614.1,0.5,0,1.2,-1.4,0.3,-0.6,0.6,0.1,-0.2,0.8,-0.1,240.9,68,5
-70,-60,-10,-60,-90,-60,-50,-100,-70,-80,-160,-120,-180,-160,-240,-150,-210,-150,-779,-474.9,-0.4,-0.7,1.2,-0.1,-0.5,0.5,0,-0.3,0.1,0.2,0,-0.3,271.2,66
-40,-50,-50,-90,-70,-100,0,-70,-140,-70,-170,-140,-30,-260,-180,20,-270,-230,-170,-10,-60,-130,-407,-686.6,-1.8,0,0.9,-0.3,1,-1.5,1.4,-0.5,-0.7,233.1
-30,-120,-70,-30,-120,-60,30,-100,-130,-60,-110,-160,30,-140,-120,-210,-170,-300,-100,-240,-220,-99,-95,-69,-68,-744,0.3,-0.5,1,1,-1.9,0.4,0.2,-0.1
-80,-80,-40,-60,-80,-30,-90,-30,-120,-10,-100,-150,10,-160,60,-160,-100,-190,-130,-330,-250,-100,-250,-95,-210,-144,-408,-276.4,-1.6,0.9,-0.9,1.2,-0.7,0
-50,-80,-70,-80,-100,-90,0,30,-90,-250,-40,-150,-200,-170,40,-130,-470,-250,-60,160,-220,-350,-230,-152,-115,-118,-92,-211,-175.1,0.9,-2.9,0.6,0.6,-0.1
10,-40,-110,-130,-20,-80,-100,-120,-40,-110,-300,-160,-20,-80,-110,-220,-290,-320,160,-130,-130,-170,-190,-262,-75,-79,-150,-70,-436,-171.6,-1.2,-0.7,0.7,0
-10,-80,-40,-90,0,-90,-130,100,-20,-220,-90,-520,-140,10,-80,-120,-140,-320,-330,-80,-40,-100,-180,-180,-92,-107,-182,-139,-140,-433.5,-0.4,-0.5,-1.9,0.9
-70,-70,-40,-120,-80,-50,-60,-260,-170,40,-190,-50,-60,-100,2280,0,0,0,0,-1840,-1740,-120,-140,-154,-159,-125,-128,-132,-103,-174,-200.2,-0.5,0.7,1.5
-90,-30,-30,-130,-180,-10,-110,-100,-60,110,-40,-140,550,1070,-10,-10,0,0,0,0,-860,-2870,300,-190,-220,-157,-88,-19,-193,-95,-540.5,-62.1,0.8,0
-110,-90,-40,-20,-90,-160,-80,-310,20,-230,-90,210,1550,-20,30,0,0,0,0,0,0,-670,-2850,-30,-280,-154,-124,-114,-100,-100,-359,-244,0.8,-0.9
-60,-130,-60,0,0,-200,-50,-100,-340,-80,-90,1100,470,-10,10,0,0,10,0,0,0,0,-2580,-940,-220,-150,-150,-157,-221,-163,-190,-211.4,6.1,-6.1
-10,-10,0,0,0,0,0,-10,0,10,0,-10,0,0,0,0,0,0,0,0,0,0,-1150,-2470,160,-210,-220,-217,-184,-153,-247,-301.7,0,0.5
0,0,0,0,0,0,0,0,0,0,-10,10,-10,-700,700,0,0,10,-10,10,0,0,-920,-2440,-260,-200,-193,-343,-74,-71,-194,-297.2,-0.6,2
0,-110,-20,10,-10,0,-10,0,-10,0,0,0,0,0,10,0,0,0,0,0,10,0,-960,-2420,-240,-130,-173,-224,-115,-129,-117,-333.2,-1.7,-1.7
0,0,0,0,0,-10,10,0,0,0,0,0,-20,0,0,10,-10,10,0,0,0,0,-2040,-1760,-150,-146,-154,103,-39,-302,-250,-274.2,-0.6,-0.7
-140,-200,-70,-90,-20,-20,50,-140,-400,280,-290,1290,240,-10,0,0,0,10,0,0,10,-160,-3430,-240,-212,-134,-140,-104,-94,-22,-237,-212.7,-0.2,0.7
-70,-160,-50,-60,-70,10,-40,-210,-140,-20,-30,290,1180,-50,60,20,0,0,10,0,0,-1930,-1890,-189,-56,-118,-127,-130,-105,84,-325,-208.1,-0.6,-0.5
-70,-70,-20,70,-70,-150,-50,-50,-150,-80,-20,-90,560,1000,0,0,10,-540,530,0,-1680,-1960,-80,-93,-152,-164,-104,-58,-38,202,-706.5,-1.3,0,-0.5
-50,-50,-30,-10,-40,-30,-50,-60,-90,-130,-90,-100,-130,-130,1660,340,0,0,-10,-3540,-200,-100,-130,-164,-76,-45,-125,-72,-115,-306,-161.1,-0.7,1,0.8
-50,-50,-60,-50,-50,-110,-110,-30,-140,-60,-90,-130,-330,-180,-230,-180,-160,-160,-100,-150,-180,-130,-186,-111,-2,-14,-128,-93,-113,-464.6,-1.2,5.7,-1.1,-1.6
-40,-30,-60,-50,-80,-40,-70,-60,-70,-40,-160,-90,-90,-160,-230,-490,-140,-170,-140,-180,-170,-226,-94,-67,-35,-61,-77,-67,-449.8,-75.4,-0.3,1.2,0.1,0.7
-60,-60,-100,-50,-30,-90,-30,-60,-100,-100,-70,-110,-150,-280,-320,-110,-130,-190,-190,-240,-170,93,67,300,-160,-210,-145,-752.7,-126.1,-2.3,1.3,-0.4,1,-2
-40,-60,-50,-70,-40,-10,-20,-170,-110,-70,-120,-220,-120,-280,-180,-140,-230,-160,-270,-116,216,130,20,-130,-100,-109,-975.8,0.1,-0.3,0.6,-0.1,-0.2,-0.9,2.2
-50,-10,-30,-60,-50,-100,-150,-60,-80,-110,-120,-110,-210,-300,-130,-180,-210,-40,90,170,-130,-170,-182,-186,-396,-440.3,-2,1.9,-0.2,-0.8,1.4,-0.7,4.7,155
-60,-40,-30,-80,-90,-100,-120,-100,-120,-80,-90,-110,-270,-250,-130,-190,-70,100,130,-200,-110,-90,-637,-418.7,1.6,0.7,-0.2,-0.8,-0.4,-0.3,-0.1,1.3,315.9,194
-40,-50,-40,-50,-80,-160,-90,-150,-70,-90,-40,-120,-130,-220,-310,220,-170,50,-360,-1094.5,0,1.7,-0.4,-1.9,1.2,-0.9,0.3,5,-1.7,-2.6,0,212.8,193,109
-60,-30,-90,-60,-50,-100,-140,0,-30,-70,-80,-160,-150,-110,-160,-190,-512,187,-204,-815.1,-0.3,-1,0.4,-0.5,0.7,-0.3,-1.1,-0.1,0.4,0.8,221.1,52,97,46
-50,-70,-60,-50,-80,-100,-40,-70,-60,-60,-140,-110,-140,-120,-160,-170,-194,-86,122,-1026.9,-1.2,0.7,0.1,-0.5,-0.7,0.6,0.4,-0.1,-0.8,261.4,62,0,-10,-11
-60,-50,-60,-40,-60,-80,-50,-40,-50,-180,-130,-110,-120,-120,-130,-190,-107,50,-128,-870.1,-0.8,1.2,-0.3,-1,-0.3,1.9,-0.1,78.4,152.1,44,-34,3,6,18
-50,-80,-40,-70,-70,-60,-50,-40,-150,-100,-80,-90,-100,-120,-120,-150,-112,-84,-316,-543.6,1.5,-0.2,-0.1,-0.8,0.5,22.2,113.7,-7.1,-6.5,-23.4,4.2,10.3,23.4,-2.9
-50,-50,-50,-70,-70,-60,-80,-100,-80,-110,-60,-110,-90,-140,-160,-130,-59,-133,-242,-480.8,0.8,-0.6,-0.7,0.7,9.4,58.2,23.6,18.6,14.9,-21.3,-9.7,-0.5,23.6,21
-60,-80,-50,-70,-50,-90,-70,-80,-80,-100,-70,-90,-130,-150,-119,-130,-114,-122,-136,-453,-1.2,0.4,1.9,-1.5,9,71.3,-14.6,16.6,14,-2.7,2.5,8.1,28.2,-0.9
