Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34,Column 35,Column 36,Column 37,Column 38,Column 39
170,110,260,110,160,190,-10,-10,0,-240,-10,-110,410,370,380,410,300,270,160,70,220,120,50,-40,-60,-50,-90,-15,83,25,7,8.5,8.9,9.2,9.2,8.9,-18,25,15
-20,50,50,40,30,100,10,10,0,240,10,-20,130,110,120,100,110,70,100,110,100,110,120,80,70,20,10,40,130,54,32,7.8,9.8,9.8,9.8,11,76,72,43
-40,-120,-130,-30,-30,-60,-10,0,0,0,0,10,-250,-110,-200,-100,100,110,180,160,70,20,40,90,30,30,70,49,36,285,77,-10,-6.2,-5.8,-5.9,-5,3,-32,-2
60,20,-10,-50,-50,10,10,0,0,0,0,-30,90,60,280,250,30,110,70,-100,-30,-20,40,10,110,150,70,10,-136,-205,-32,43.8,38.2,39.2,38.3,34.3,42,-4,-40
-50,40,-40,-20,-70,-130,0,0,0,0,0,30,320,330,170,70,140,70,70,300,220,240,150,160,0,-90,-60,-65,-78,-22,-49,-59.7,-58.1,-58.8,-57.6,-56.2,-31,35,61
110,10,50,20,90,190,-10,0,0,-2160,0,120,710,-30,-260,0,70,-10,170,170,170,100,60,20,110,100,130,172,146,59,-27,-0.5,-0.3,2.3,-0.6,-0.8,28,10,51
-130,-120,-30,-90,-200,-100,10,0,0,1940,0,0,220,760,420,90,-90,-10,-220,-260,-180,-60,30,-20,10,80,40,10,26,40,-80.3,1.3,2.3,-1.6,5.8,1.7,-21,24,-40
30,10,10,-10,10,-200,-620,0,0,220,-720,0,0,280,730,-540,-440,-350,-290,-230,-410,-400,-380,-210,-140,-70,-90,60,42,24,27.1,0.4,-0.9,1.6,-4.3,2.5,6,25,32
30,40,30,100,140,260,-310,-640,0,0,720,-430,0,0,260,1540,60,110,60,-10,170,90,60,10,-20,70,150,-10,12,23,47.2,1,0.9,-1.3,-0.1,-1.5,-41,-89,-15
-250,-150,-230,-240,-190,-290,-160,-420,-760,0,0,-60,-1270,0,0,230,1750,210,100,140,130,90,10,30,10,-90,-90,-70,-86,-97,-72.4,0.6,1.8,0.2,1.5,1.8,34,41,-6
120,30,-100,70,-60,-170,-140,-230,-780,-1330,0,-170,-80,-630,-70,-1610,200,1580,10,50,170,170,40,70,90,10,50,0,-13,-23,-8.2,2.5,2.2,2.3,2.3,1.5,-3,42,23
-10,-110,-200,-320,120,190,-70,-140,0,-350,-1390,660,1350,630,70,-10,0,210,1850,-120,-190,-20,180,110,120,40,-100,190,230,130,20.1,-5.7,-6.8,-4.8,-5.5,-5.1,84,30,40
-100,20,-60,-160,-570,-20,360,490,470,650,210,-1060,0,0,0,1670,-500,0,200,2130,130,140,80,150,70,180,120,-60,-108,21,-6.7,-2.6,-1.4,-2.2,-2.4,-2.3,-82,-51,-13
-20,-190,140,90,-40,-400,-460,-230,-170,-340,-210,-430,-1310,-990,-10,0,-940,-10,0,220,2360,-380,-390,-260,-250,-300,-200,-80,128,79,49.2,10.2,9.7,12.2,10.1,12.9,84,74,16
130,290,240,310,420,310,440,230,280,400,450,480,210,-20,0,0,1440,10,10,0,30,2840,40,-160,-50,0,40,-153,10,24,-28.3,16.5,6.8,3.1,6.9,3.3,85,88,40
-30,-50,-20,60,230,90,-70,-150,-100,-220,-280,-240,-180,-280,-960,-2720,0,0,0,0,0,0,3050,40,-50,-30,-40,-85,-247,-124,-20.4,-14.8,-4,-1.4,-3.1,-1.3,-55,-26,26
40,160,110,140,40,90,70,110,20,250,200,430,500,390,30,1760,-40,0,0,0,0,0,0,3240,-60,-70,0,77,157,-3,81.7,-2.6,-3.8,-5.2,-5.9,-6.7,22,-1,-27
140,10,50,0,-30,-60,30,160,240,280,340,40,-50,80,40,240,40,-1640,-20,0,0,0,-10,-3200,-10,10,40,401,-6,-25,-77.7,9.2,4.8,7.8,5,4.7,-1,-70,-10
70,100,130,80,110,230,140,-50,-20,-190,-210,-140,-40,-160,760,710,-600,1630,20,-180,0,-40,-2870,200,130,100,180,-40,-38,78,23.3,63,57.1,65.8,65.6,57.5,225,194,135
-20,50,100,120,120,40,70,110,-10,-10,-40,-60,-210,840,140,0,600,10,-10,180,-10,-2510,280,410,560,560,270,-40,-83,104,151.4,-7.1,-3.6,-20,-21.8,-11.5,-43,-39,-74
