Column 1,Column 2,Column 3,Column 4,Column 5,Column 6,Column 7,Column 8,Column 9,Column 10,Column 11,Column 12,Column 13,Column 14,Column 15,Column 16,Column 17,Column 18,Column 19,Column 20,Column 21,Column 22,Column 23,Column 24,Column 25,Column 26,Column 27,Column 28,Column 29,Column 30,Column 31,Column 32,Column 33,Column 34
140,110,70,100,160,180,160,210,170,180,200,160,130,80,90,87,127,120,-1,33,2,1,1.5,6.4,2,26.4,74.5,92,156,67,85,69,22,37
170,140,140,140,110,120,110,130,200,170,120,140,140,150,170,79,20,150,211,96,-1.6,5.5,-2.4,-6.6,-1.2,83.1,154,91,1,22,-7,-8,4,40
270,260,220,210,140,170,220,200,110,90,170,80,90,120,110,150,60,130,250,86,0.9,-7.1,0.2,6,-0.7,-187.6,-364.1,-233.1,40,-2,53,45,30,-44
190,210,240,200,210,150,110,100,160,140,140,180,110,70,60,20,40,240,330,141,0.4,3.4,2.5,-2.7,7.2,2.6,3.8,-129.8,-355.7,-122,21,-35,18,83
50,60,80,90,130,120,110,110,90,110,130,130,150,160,190,170,-10,-410,80,24,-2.6,-3.4,-1.5,-2.9,-6.4,-2.1,-2.3,-1.9,-2.7,-172,-321.8,75,17,-25
30,90,70,50,70,50,80,70,80,140,90,90,90,150,140,140,150,-70,-90,30,-1.1,0,0,1.7,-0.5,0.6,-0.5,0.3,1,0.4,0,-330.9,-74,13
120,60,60,140,110,110,90,160,110,120,160,150,200,140,160,180,240,260,-260,-139,0.2,-0.7,-1.4,-1.4,-0.1,-0.9,0.2,-0.4,-0.8,-0.5,-1.1,-1,-242.2,-39
130,160,170,130,100,120,80,130,160,90,100,90,70,220,120,180,350,290,210,819,1283.9,1224.3,1095,686.8,0.3,-1,-1.5,-0.6,-0.6,0.3,-1.4,0,-0.2,-272.1
100,110,40,20,80,30,70,100,70,80,90,150,130,190,310,370,140,240,170,240,10,-150,-119,193,810.6,744.4,0.4,-0.2,-0.4,-0.4,2.1,-1.2,-0.3,0.6
100,50,90,120,90,130,160,40,110,120,170,180,190,170,150,330,380,450,560,530,440,410,409,254,228,86,686,277.7,1.8,-0.8,-0.9,0.1,0.9,0
110,140,140,110,90,70,10,100,160,190,-50,10,10,-200,-210,-230,-200,-570,-630,-560,-70,-40,-290,-270,-327,-232,-206,110,175.4,1.9,1.9,-0.1,-0.7,0.6
230,290,330,290,240,320,330,230,80,130,270,10,0,180,270,120,30,210,140,360,70,160,340,380,270,310,349,291,432,171.1,-1.4,0.3,-1,-0.9
40,20,-20,50,90,110,100,70,290,310,200,410,50,-70,20,50,150,300,300,-190,-140,-50,20,30,112,95,67,35,-34,262,0.1,0.9,1.1,-1.5
30,-30,-20,-20,-50,-130,-90,-20,-380,-530,-270,-370,100,180,70,2430,2550,2690,3010,3340,1580,-120,-140,-100,-74,-141,-159,-105,-98,-61,198.5,-1.3,-1.3,1.3
190,170,210,220,210,110,150,100,260,370,440,590,500,1110,2280,-10,-20,-20,-20,-20,1820,2700,-50,390,354,293,261,301,414,324,403,62.7,1.1,1.2
250,230,170,160,270,360,210,240,30,110,-230,-280,70,1070,-20,20,30,30,30,30,30,890,3090,-60,100,40,43,7,-88,5,0,181.5,-0.4,-0.4
60,110,70,50,70,160,120,150,360,0,150,150,1040,-40,-30,-50,-50,-50,-40,-40,-40,-40,630,900,-10,50,54,28,-15,-136,-199,-30,2.6,7.9
510,560,680,740,740,740,940,990,1080,1420,1510,1600,490,20,30,20,20,20,10,10,10,10,10,1440,-90,290,230,160,100,137,147,90,-0.3,-6.4
-30,-20,-10,-10,-10,-10,-10,-10,0,0,-10,-20,0,-10,-710,-10,-10,-10,0,-10,0,0,0,230,260,-160,-150,-123,-249,-139,-57,-4,0.5,-0.1
-20,-20,-130,-150,-140,-150,-150,-160,-160,-170,-170,-160,-170,-160,540,-150,-150,-150,-160,-150,-160,-150,-150,-190,-170,-150,-80,-60,59,18,-40,37,1,-0.1
50,50,160,180,170,180,170,190,190,200,200,200,200,180,180,170,180,170,180,180,180,170,170,-910,-250,-160,-176,-157,170,246,73,-60,-1,0.1
-540,-680,-880,-950,-1040,-1060,-1070,-1030,-1170,-1570,-1290,-1580,-290,-30,-40,-40,-50,-40,-40,-40,-40,-30,-190,-1580,-60,-122,-110,-96,-303,-358,-78,-65,-3.5,-3.1
-160,-90,-50,-30,0,-50,-20,-110,-180,80,-220,40,-960,-20,-60,0,20,20,10,20,20,10,-1760,-220,-169,-13,3,16,-10,-21,85,-3,1.6,1.2
